,Unnamed: 0,Theme,Sub Theme,Feature Name,x,y,queryKey,explore,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
89,89,Place Of Assembly,Theatre Live,Comedy Theatre,144.97013311862,-37.8102053945163,Comedy Theatre,Comedy%20Theatre,365.495,373.59,421.664,435.396,398.871,386.921,403.49,438.055,413.963,448.111,406.617,393.278
90,90,Place Of Assembly,Theatre Live,La Mama Theatre,144.967669503083,-37.7991304956733,La Mama Theatre,La%20Mama%20Theatre,113.154,153.718,279.069,204.306,230.269,118.681,145.338,247.363,191.784,184.49,148.942,110.882
91,91,Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,144.980554992725,-37.8145407488014,Sinclair's Cottage,Sinclairs%20Cottage,116.724,134.114,141.346,123.307,146.336,122.139,140.621,144.436,132.347,118.459,134.056,118.791
92,92,Education Centre,Tertiary (University),BIO 21 Institute,144.953780325865,-37.7978743305343,BIO 21 Institute,BIO%2021%20Institute,19.657,27.652,48.992,38.223,45.319,25.076,28.804,45.95,34.733,33.24,25.413,16.441
93,93,Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,144.954039975197,-37.8222182774409,Victoria Police Museum,Victoria%20Police%20Museum,494.359,570.877,574.024,518.297,644.611,531.24,614.892,613.685,551.652,636.915,555.845,479.663
94,94,Place Of Assembly,Art Gallery/Museum,Immigration Museum,144.960426777129,-37.8191798798062,Immigration Museum,Immigration%20Museum,0.0,546.581,974.444,936.884,908.004,838.139,911.405,910.025,857.987,934.574,886.974,937.073
95,95,Place of Worship,Church,St Pauls Cathedral,144.967681647402,-37.8169549012399,St Pauls Cathedral,St%20Pauls%20Cathedral,757.05,599.87,770.728,1074.574,896.08,899.114,1017.137,1046.968,916.571,894.961,790.278,1022.753
96,96,Place Of Assembly,Theatre Live,Forum Theatre,144.969386556998,-37.816485409696,Forum Theatre,Forum%20Theatre,325.678,247.6,337.735,502.084,406.215,396.621,456.442,389.852,396.157,420.001,163.238,371.567
97,97,Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,144.975373745366,-37.8085761281612,Fire Services Museum Victoria,Fire%20Services%20Museum%20Victoria,82.374,89.265,96.61,86.464,100.056,84.457,97.341,100.126,63.944,0.0,0.0,0.0
98,98,Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,144.964156669702,-37.7973939595503,The Ian Potter Museum Of Art,The%20Ian%20Potter%20Museum%20Of%20Art,153.929,197.297,338.525,253.294,278.672,157.393,189.28,300.553,238.83,234.266,196.17,157.134
99,99,Education Centre,Tertiary (University),University of Melbourne,144.96099520158,-37.7982892284927,University of Melbourne,University%20of%20Melbourne,38.275,50.13,91.431,74.46,90.873,48.316,52.301,74.34,66.68,65.569,54.067,33.427
100,100,Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,144.954027907736,-37.8133854259085,Koorie Heritage Trust Inc,Koorie%20Heritage%20Trust%20Inc,212.029,236.28,256.604,224.596,255.786,223.36,259.618,260.239,230.598,262.302,247.46,221.277
101,101,Education Centre,Tertiary (University),RMIT University,144.964452974798,-37.8080795360545,RMIT University,RMIT%20University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.071,258.879,260.075
102,102,Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),144.943290801869,-37.7999470049655,North Melbourne Recreation Centre (Aquatic),North%20Melbourne%20Recreation%20Centre%20,17.501,18.02,25.733,23.282,24.569,18.164,17.327,19.899,18.203,20.429,19.048,16.385
103,103,Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,144.971696548624,-37.7934377042609,Carlton Baths,Carlton%20Baths,35.901,50.834,95.258,69.204,78.919,39.101,48.418,84.798,64.764,61.634,48.708,34.821
104,104,Leisure/Recreation,Major Sports & Recreation Facility,City Baths,144.963189789721,-37.8071585350561,City Baths,City%20Baths,176.15,209.987,283.275,271.354,204.537,204.666,253.799,261.82,203.637,218.722,230.59,218.502
105,105,Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,144.979471339826,-37.8144604899837,Cooks' Cottage,Cooks%20Cottage,136.346,156.645,165.098,144.046,170.913,142.655,164.253,168.731,154.554,138.226,156.543,138.718
106,106,Community Use,Public Buildings,Conservatory,144.9785597431,-37.814002127195,Conservatory,Conservatory,160.824,184.766,194.743,169.89,201.605,168.275,193.738,199.007,182.277,162.924,184.647,163.613
107,107,Aquarium,Aquarium,Melbourne Aquarium,144.958425696055,-37.8209627824685,Melbourne Aquarium,Melbourne%20Aquarium,616.978,668.493,715.639,649.84,732.967,601.238,722.989,732.746,644.614,735.576,690.43,638.541
